Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
0.011,-0.035,0.994,-0.191,0.304,-0.192,-0.77,-1.76,139.4,-30,-32,-9
0.018,-0.025,1.009,-0.036,-0.522,0.117,-0.77,-1.75,139.4,-30,-32,-9
0.014,-0.034,0.989,0.231,-0.115,-0.099,-0.78,-1.75,139.4,-30,-32,-9
0.015,-0.033,0.999,-0.128,0.38,0.113,-0.77,-1.76,139.4,-30,-32,-8
0.018,-0.031,0.999,-0.045,-0.172,-0.129,-0.77,-1.76,139.4,-30,-32,-9
0.012,-0.024,0.981,-0.2,-0.321,0.146,-0.78,-1.76,139.4,-30,-32,-9
0.013,-0.026,1.009,0.278,0.97,0.233,-0.78,-1.76,139.4,-30,-32,-9
-0.002,-0.034,0.987,0.376,0.402,-0.147,-0.77,-1.76,139.4,-30,-32,-9
0.016,-0.031,0.995,-0.643,-0.267,0.36,-0.76,-1.76,139.4,-30,-33,-8
0.018,-0.027,0.997,0.029,-0.325,-0.067,-0.77,-1.77,139.4,-30,-33,-8
0.012,-0.029,0.997,0.493,0.064,-0.161,-0.76,-1.76,139.4,-30,-33,-8
-0.001,-0.033,0.997,-0.056,0.15,0.114,-0.77,-1.76,139.4,-30,-33,-9
0.022,-0.026,0.99,-0.171,-0.429,-0.128,-0.77,-1.76,139.4,-30,-33,-8
0.008,-0.034,1.005,-0.082,0.426,0.204,-0.78,-1.76,139.4,-30,-32,-9
0.004,-0.027,0.998,0.16,0.268,-0.039,-0.76,-1.75,139.4,-30,-33,-9
0.017,-0.028,0.997,-0.27,-0.869,0.332,-0.77,-1.75,139.4,-30,-33,-9
0.011,-0.035,0.992,-0.798,-0.416,0.605,-0.79,-1.76,139.41,-30,-32,-8
0.002,-0.032,1.0,-0.14,0.609,0.02,-0.78,-1.76,139.41,-30,-33,-8
0.007,-0.033,1.005,0.124,-0.082,0.1,-0.78,-1.76,139.41,-30,-32,-9
0.02,-0.037,0.995,-0.794,-1.134,0.547,-0.79,-1.76,139.41,-30,-32,-8
0.02,-0.036,0.991,-0.617,-0.604,0.27,-0.81,-1.78,139.42,-30,-32,-8
-0.0,-0.029,0.998,0.744,1.464,-0.335,-0.8,-1.78,139.42,-30,-33,-9
0.013,-0.024,1.004,0.332,-0.482,0.01,-0.79,-1.76,139.41,-30,-32,-8
0.018,-0.033,0.995,-0.501,-0.986,0.485,-0.8,-1.76,139.42,-30,-33,-9
0.007,-0.035,0.993,-0.169,0.731,-0.072,-0.8,-1.77,139.42,-30,-32,-9
0.008,-0.031,0.998,0.117,0.451,-0.3,-0.79,-1.77,139.42,-30,-32,-9
0.016,-0.031,1.004,-0.082,-0.566,0.254,-0.79,-1.78,139.42,-30,-32,-9
0.009,-0.03,0.992,0.161,-0.648,0.041,-0.8,-1.77,139.42,-30,-32,-8
0.003,-0.028,0.983,0.023,0.316,-0.116,-0.8,-1.77,139.42,-30,-32,-8
0.012,-0.043,1.004,-0.303,-0.044,0.13,-0.81,-1.77,139.42,-30,-32,-9
0.011,-0.025,1.008,-0.346,-0.868,0.21,-0.81,-1.77,139.42,-30,-32,-9
0.022,-0.016,1.008,0.62,-0.579,-0.02,-0.82,-1.76,139.42,-30,-32,-8
0.007,-0.028,0.99,-0.923,-0.627,0.82,-0.83,-1.76,139.42,-30,-32,-9
0.005,-0.03,1.008,-1.039,-0.23,0.36,-0.83,-1.77,139.43,-30,-32,-9
0.027,-0.021,1.005,-0.79,-1.853,0.382,-0.84,-1.77,139.43,-30,-32,-9
0.024,-0.034,1.003,-1.116,-1.218,1.143,-0.86,-1.78,139.44,-30,-32,-9
0.015,-0.04,0.986,-1.109,0.214,0.48,-0.86,-1.8,139.45,-30,-32,-9
0.005,-0.048,0.979,-0.778,0.818,0.004,-0.85,-1.81,139.45,-30,-32,-9
0.014,-0.044,0.99,-0.334,-0.105,0.038,-0.85,-1.83,139.45,-30,-32,-9
0.012,-0.03,1.006,0.688,-0.184,-0.205,-0.85,-1.83,139.45,-30,-32,-8
0.004,-0.014,1.019,0.627,-0.152,-0.129,-0.84,-1.81,139.45,-30,-32,-9
0.008,-0.029,1.006,-0.414,-1.249,0.104,-0.85,-1.81,139.45,-30,-32,-8
0.02,-0.035,0.991,-1.697,-2.251,0.475,-0.87,-1.82,139.45,-30,-32,-8
0.032,-0.037,0.996,-0.746,-1.961,0.184,-0.9,-1.84,139.46,-30,-32,-8
0.01,-0.037,0.993,-0.184,-0.245,-0.007,-0.92,-1.84,139.46,-30,-32,-8
0.009,-0.035,0.996,-0.303,-0.076,-0.099,-0.92,-1.85,139.45,-30,-32,-9
